1,user,clicks,button,4305
2,user,submits,form,1382
3,user,clicks,link,1358
4,user,has,access,793
5,object,support,property,702
6,user,selects,item,694
7,question,makes,sense,668
8,http,get,request,567
9,user,click,button,560
10,user,closes,browser,541
11,user,hits,button,541
12,question,make,sense,528
13,class,has,method,456
14,changes,take,effect,453
15,user,enters,data,427
16,user,moves,mouse,418
17,access,denied,error,367
18,user,opens,app,365
19,user,enters,text,357
20,user,selects,option,356
21,user,has,permission,347
22,class,implements,interface,345
23,user,refreshes,page,341
24,user,makes,selection,339
25,user,visits,page,333
26,user,leaves,page,329
27,user,has,option,318
28,compiler,gives,error,308
29,user,enters,value,297
30,permission,denied,error,296
31,process,can not access,file,294
32,code,throws,exception,290
33,object,has,method,290
34,user,visits,site,279
35,users,have,access,278
36,object,has,property,278
37,user,fills,form,275
38,user,submit,form,273
39,user,selects,value,267
40,user,selects,file,264
41,code,gives,error,263
42,user,uploads,file,263
43,user,selects,row,259
44,user,scrolls,page,256
45,client,sends,request,256
46,use,prepared,statements,246
47,class,has,property,238
48,ant,build,file,237
49,user,defined,function,233
50,user,has,ability,233
51,user,have,access,232
52,user,starts,app,219
53,method,throws,exception,218
54,program,received,signal,216
55,user,uploads,image,215
56,user,changes,value,214
57,code,make,sense,213
58,code,makes,sense,212
59,function,returns,value,207
60,user,resizes,window,206
61,page,not found,error,202
62,class,implement,interface,194
63,user,clicks,item,191
64,user,clicks,image,189
65,table,has,column,184
66,user,select,file,184
67,file,not found,error,181
68,user,clicked,button,177
69,users,upload,files,175
70,user,has,permissions,175
71,user,launches,app,173
72,user,selects,date,172
73,textbox,loses,focus,171
74,method,returns,object,170
75,variable,has,value,167
76,client,sends,message,166
77,user,enters,number,165
78,user,enter,data,163
79,user,select,item,162
80,client,makes,request,162
81,user,closes,window,160
82,user,selects,image,160
83,code,throws,error,159
84,function,returns,pointer,159
85,user,enter,text,157
86,approach,makes,sense,155
87,user,enters,username,155
88,user,changes,password,154
89,server,sends,data,154
90,server,receives,request,153
91,user,makes,changes,152
92,user,pushes,button,150
93,user,click,link,149
94,user,rotates,device,147
95,user,can click,button,147
96,users,upload,images,146
97,php,has,function,146
98,compiler,throws,error,145
99,ant,build,script,144
100,user,entered,data,144
101,table,has,primary key,143
102,user,download,file,142
103,browser,sends,request,142
104,control,loses,focus,142
105,compiler,generates,code,141
106,repository,found containing,osgi,141
107,user,opens,application,141
108,user,enter,value,141
109,client,sends,data,141
110,user,enters,name,140
111,table,has,columns,140
